Group	Treatment	Value
A	high	127
A	high	168
A	high	143
A	low	47
A	low	91
A	low	163
A	low	109
A	low	54
A	low	52
A	low	125
A	low	161
A	low	134
B	high	110
B	high	85
B	high	186
B	high	175
B	high	114
B	high	50
B	high	48
B	high	181
B	high	73
B	high	195
B	high	91
B	high	195
B	high	108
B	high	134
B	high	56
B	high	160
B	high	115
B	high	198
B	high	124
B	high	189
B	low	173
B	low	209
B	low	115
B	low	131
B	low	120
B	low	190
B	low	178
B	low	196
B	low	179
B	low	144
B	low	219
B	low	118
B	low	137
B	low	89
B	low	179
B	low	102
B	low	186
B	low	116
B	low	135
B	low	195
C	high	181
C	high	217
C	high	138
C	high	127
C	high	132
C	high	171
C	high	235
C	high	238
C	high	215
C	high	178
C	high	149
C	high	215
C	high	184
C	low	184
C	low	249
C	low	120
C	low	219
C	low	111
C	low	113
C	low	125
C	low	133
C	low	234
D	high	250
D	high	224
D	high	155
D	high	172
D	high	207
D	high	166
D	high	169
D	high	226
D	high	275
D	high	175
D	high	186
D	high	184
D	high	259
D	high	218
D	high	261
D	high	205
D	high	165
D	high	268
D	high	243
D	high	179
D	low	242
D	low	276
D	low	290
D	low	264
D	low	237
D	low	158
D	low	173
D	low	201
D	low	246
D	low	296
D	low	237
D	low	174
D	low	284
D	low	227
D	low	167
D	low	300
D	low	182
D	low	273
D	low	218
D	low	184
E	high	284
E	high	205
E	high	268
E	high	204
E	high	267
E	high	258
E	high	293
E	high	220
E	high	295
E	high	198
E	high	206
E	high	248
E	high	302
E	high	210
E	high	237
E	high	200
E	high	187
E	high	179
E	high	269
E	high	291
E	low	318
E	low	184
E	low	191
E	low	196
E	low	222
E	low	271
E	low	220
E	low	210
E	low	211
E	low	292
E	low	195
E	low	216
E	low	295
E	low	293
E	low	201
E	low	296
E	low	308
E	low	271
E	low	327
E	low	250
F	high	325
F	high	318
F	high	206
F	high	273
F	high	218
F	high	210
F	high	239
F	high	266
F	high	231
F	high	326
F	high	251
F	high	245
F	high	352
F	high	251
F	high	298
F	high	293
F	high	290
F	high	255
F	high	341
F	high	309
F	low	324
F	low	359
F	low	273
F	low	247
F	low	330
F	low	351
F	low	236
F	low	264
F	low	280
F	low	289
F	low	237
F	low	379
F	low	367
F	low	354
F	low	342
F	low	368
F	low	368
F	low	270
F	low	286
F	low	366
G	high	285
G	high	339
G	high	349
G	high	350
G	high	325
G	high	310
G	high	257
G	high	358
G	high	374
G	high	287
G	high	386
G	high	384
G	high	343
G	high	279
G	high	346
G	high	352
G	high	353
G	high	337
G	high	379
G	high	329
G	low	348
G	low	404
G	low	339
G	low	389
G	low	407
G	low	311
G	low	270
G	low	291
G	low	373
G	low	383
G	low	416
G	low	373
G	low	373
G	low	310
G	low	374
G	low	328
G	low	311
G	low	281
G	low	362
G	low	290
